상품이름,할인전가격,할인후가격,할인율,"상품용량
(숫자만)","상품설명
(chatGPT 이용)","카테고리1
(강아지/고양이/공용)
(D/C/Z)","카테고리2
(사료/간식/용품)
(1/2/3)","카테고리3
(주니어/어덜트/시니어/공용)
(j/a/s/z)(임의로 넣기)",auto increment,상품코드,긴 상품 설명,
풋 버블 클렌저,8900,8900,0,130,애완동물의 발을 위한 클렌저입니다.,D,3,z,210,D3z210,"풋 버블 클렌저는 반려동물의 발과 피부를 깨끗하게 관리할 수 있는 세정제입니다. 부드러운 거품이 피부와 발을 자극 없이 세정하며, 항균 성분이 포함되어 있어 청결을 유지합니다. 사용이 간편하고, 반려동물의 발바닥이나 피부에 적합하여 건강한 위생 관리를 돕습니다.",
펫츠루트 셰프요리 닭가슴살 치즈 400g,9900,9900,0,400,애완동물을 위한 닭가슴살과 치즈가 들어간 요리입니다.,D,2,j,211,D2j211,"펫츠루트 셰프요리 닭가슴살 치즈는 신선한 닭가슴살과 치즈를 혼합하여 만든 고품질 반려견 간식입니다. 400g의 대용량으로 제공되며, 부드러운 치즈와 풍부한 단백질이 반려견의 건강을 지원합니다. 인공 첨가물이 없어 안전하게 급여할 수 있으며, 고소한 맛이 반려견의 입맛을 사로잡습니다.",
네츄럴랩 소프트 하루껌 애견간식 소고기 12P(85g),4500,4500,0,85,애완동물을 위한 소고기 맛 소프트 하루껌 간식입니다.,D,2,z,212,D2z212,"네츄럴랩 소프트 하루껌은 소고기를 주재료로 사용한 부드러운 간식입니다. 85g의 패키지에 12개의 개별 포장이 포함되어 있어 간편하게 급여할 수 있으며, 씹는 재미와 함께 치아 건강을 돕습니다. 천연 재료로 제조되어 안전하고, 소화가 잘 되는 간식입니다.",
에티펫 바르는 치약 100ML,7900,7900,0,100,애완동물의 구강 건강을 위한 바르는 치약입니다.,Z,3,z,213,Z3z213,"에티펫 바르는 치약은 반려동물의 치아 건강을 관리할 수 있는 치약입니다. 100ML의 용량으로, 치약을 바르고 마사지하면 치석과 플라크 제거에 도움을 줍니다. 구강 내 세균 억제와 상쾌한 입 냄새를 유지하며, 사용이 간편하여 효과적인 구강 관리가 가능합니다.",
"브로스 참치, 멸치, 흰살생선 파우치 40g",2100,2100,0,40,다양한 종류의 생선을 담은 고양이용 파우치 간식입니다.,C,1,z,214,C1z214,"브로스 참치, 멸치, 흰살생선 파우치는 고양이의 기호성을 고려한 혼합 간식입니다. 40g의 소포장으로 신선하게 제공되며, 참치, 멸치, 흰살생선이 조화를 이루어 풍부한 맛을 제공합니다. 고단백 저지방으로 고양이의 건강을 지원하며, 영양가 높은 간식으로 특별한 보상 시간에 적합합니다.",
더펫원츠 냥치카펜,11000,11000,0,1,고양이를 위한 치카펜으로 장난감과 치료 효과를 동시에 제공합니다.,C,3,z,215,C3z215,"더펫원츠 냥치카펜은 고양이의 놀이와 운동을 위한 장난감입니다. 다양한 질감과 색상이 고양이의 호기심을 자극하며, 낚시대 형태로 고양이와의 상호작용을 즐겁게 합니다. 튼튼한 소재로 제작되어 오랜 시간 사용 가능하며, 고양이의 사냥 본능을 만족시킬 수 있는 장난감입니다.",
순살듬뿍 오리말이스틱 30P (300g),11000,8800,0.2,300,강아지를 위한 오리고기로 만든 말이스틱입니다.,D,2,z,216,D2z216,"순살듬뿍 오리말이스틱은 오리고기를 사용하여 만든 반려견 간식입니다. 300g의 대용량 패키지에 30개의 스틱이 포함되어 있어 여러 번 나누어 급여할 수 있습니다. 쫄깃하고 맛있는 식감이 반려견의 입맛을 사로잡으며, 단백질이 풍부하여 건강한 간식 선택입니다.",
몰리스 미끄러지지 않는 패드 L 35매,19900,19900,0,35,미끄러지지 않도록 설계된 강아지용 패드입니다.,D,3,z,217,D3z217,"몰리스 미끄러지지 않는 패드는 반려동물의 배변 관리를 위해 설계된 실용적인 패드입니다. L 사이즈로 넉넉한 크기와 35매입으로 제공되며, 바닥에서 미끄러지지 않아 안정적으로 사용할 수 있습니다. 뛰어난 흡수력과 냄새 차단 기능으로 쾌적한 환경을 유지하는 데 도움을 줍니다.",
포비스 항균 탈취제 (라임향) 1000ml,9500,7600,0.2,1000,라임향이 특징인 항균 탈취제로 공간을 상쾌하게 만듭니다.,Z,3,z,218,Z3z218,"포비스 항균 탈취제는 라임향으로 상쾌한 향기를 제공하며, 항균 효과가 뛰어난 탈취제입니다. 1000ml의 대용량으로 경제적이며, 반려동물의 생활 공간을 깨끗하게 유지할 수 있습니다. 사용이 간편한 스프레이 타입으로 다양한 표면과 공간에 쉽게 적용할 수 있습니다.",
위스카스 파우치 고등어와 연어 80g,1200,1200,0,80,고등어와 연어가 들어간 고양이용 파우치 간식입니다.,C,1,z,219,C1z219,"위스카스 파우치 고등어와 연어는 신선한 해산물 맛을 담은 고양이 간식입니다. 80g의 소포장으로 제공되며, 고등어와 연어의 풍부한 맛이 고양이의 기호성을 높입니다. 촉촉한 파우치 타입으로 쉽게 급여할 수 있으며, 필수 영양소가 포함되어 있어 건강한 간식입니다.",
시저 양고기 캔 3개입,6200,6200,0,3,시저의 양고기 맛 캔 간식 세트입니다.,D,1,z,220,D1z220,"시저 양고기 캔은 신선한 양고기를 사용하여 만든 고급 반려견용 간식입니다. 3개입으로 제공되며, 풍부한 맛과 부드러운 식감이 반려견의 입맛을 사로잡습니다. 간식으로 급여하기에 적합하며, 필수 영양소가 포함되어 있어 건강을 유지하는 데 도움을 줍니다.",
건강백서 건강한 체중 2kg,26300,26300,0,2000, 강아지나 고양이의 건강한 체중 유지를 돕는 사료입니다.,D,1,z,221,D1z221,"건강백서 건강한 체중 사료는 체중 관리를 위한 고급 반려견용 사료입니다. 2kg의 대용량으로 제공되며, 저지방 고단백으로 체중 조절에 도움을 줍니다. 소화가 잘 되는 재료와 풍부한 영양소가 포함되어 있어 반려견의 건강을 유지하는 데 이상적입니다.",
애견 전용 면봉 200pcs,6000,6000,0,200,강아지 귀 청소에 사용할 수 있는 면봉입니다.,D,3,z,222,D3z222,"애견 전용 면봉은 반려동물의 귀와 눈 주변을 청소하기 위해 설계된 제품입니다. 200개입의 대용량으로 제공되며, 부드러운 면봉 끝이 자극 없이 청소할 수 있도록 도와줍니다. 반려동물의 위생 관리를 쉽게 할 수 있으며, 청결한 환경을 유지하는 데 도움을 줍니다.",
쉬바 참치와 게살 70g,1800,1800,0,70,참치와 게살이 들어간 고양이용 캔 간식입니다.,C,1,z,223,C1z223,"쉬바 참치와 게살은 신선한 참치와 게살을 사용한 고양이 간식입니다. 70g의 용량으로 제공되며, 풍부한 맛과 촉촉한 식감이 고양이의 기호성을 높입니다. 필수 영양소가 포함되어 있어 건강한 간식으로, 특별한 보상 시간에 적합합니다.",
카샤카샤 붕붕 와이어 낚시대,5200,5200,0,1,고양이가 놀 수 있는 와이어 낚시대입니다.,C,3,j,224,C3j224,"카샤카샤 붕붕 와이어 낚시대는 고양이의 놀이와 운동을 위한 장난감입니다. 튼튼한 와이어와 다양한 장난감이 달려 있어 고양이의 사냥 본능을 자극하며, 활발한 운동과 재미를 제공합니다. 사용이 간편하고 고양이와의 상호작용을 즐겁게 할 수 있는 장난감입니다.",
웅자 리얼 스테이크 (연어),4500,4500,0,100,연어로 만든 강아지용 스테이크입니다.,D,2,a,225,D2a225,"웅자 리얼 스테이크는 고양이를 위한 고급 간식으로, 신선한 연어를 사용하여 만들었습니다. 육즙이 풍부하고 부드러운 식감이 고양이의 기호성을 높이며, 고단백으로 건강을 지원합니다. 간식이나 보상용으로 이상적이며, 특별한 날에 주기 좋은 프리미엄 간식입니다.",
구중 청량제 120ml,3000,3000,0,120,반려동물용 청량제로 환경을 청결하게 유지합니다.,Z,3,z,226,Z3z226,"구중 청량제는 반려동물의 입 냄새를 상쾌하게 유지할 수 있는 제품입니다. 120ml의 용량으로 제공되며, 부드럽게 입 안을 청량하게 하고 세균 억제에 도움을 줍니다. 사용이 간편하고, 반려동물의 구강 위생을 관리하는 데 효과적입니다.",
올치 매직 하네스 L,14000,14000,0,1,편안하고 안전한 착용감을 제공하는 강아지용 매직 하네스입니다.,D,3,a,227,D3a227,"올치 매직 하네스 L은 반려견을 위한 편안하고 안전한 하네스입니다. 조절 가능한 디자인으로 다양한 체형에 맞게 조절 가능하며, 부드러운 소재로 반려견의 편안한 착용감을 제공합니다. 매끄러운 착용과 견고한 구조로 안전한 산책을 보장하며, 간편한 부착과 분리가 가능합니다.",
ANF 고양이참치연어캔 95G,1900,1900,0,95,고양이를 위한 참치와 연어가 들어간 캔 참치입니다.,C,1,z,228,C1z228,"ANF 고양이참치연어캔은 신선한 참치와 연어를 사용하여 만든 고양이용 간식입니다. 95g의 적당한 용량으로 제공되며, 고단백과 풍부한 오메가-3 지방산이 포함되어 있습니다. 고양이의 기호성을 높이며, 건강한 피부와 털을 유지하는 데 도움을 줍니다.",
펫모닝 스윙캣 벌,4000,4000,0,1,양이를 위한 스윙 장난감으로 놀이와 운동을 촉진합니다.,C,3,z,229,C3z229,"펫모닝 스윙캣 벌은 고양이의 놀이와 운동을 돕는 장난감입니다. 벌 모양의 장난감이 고양이의 호기심을 자극하며, 이동하는 장난감이 사냥 본능을 만족시킵니다. 튼튼한 소재로 제작되어 오랜 시간 사용할 수 있으며, 고양이의 신체 활동을 촉진합니다.",
츄르비 참치&구운닭가슴살 4개입,3500,3500,0,4,참치와 구운 닭가슴살이 들어간 고양이용 츄르비 제품입니다.,C,1,z,230,C1z230,"츄르비 참치&구운닭가슴살은 고양이를 위한 프리미엄 간식입니다. 4개입의 패키지로 제공되며, 참치와 구운 닭가슴살의 풍부한 맛이 특징입니다. 부드러운 식감과 고양이의 기호성을 고려하여 제조되었으며, 영양가가 높고 맛있는 보상 간식입니다.",
너를위한디저트 고양이 캣닢비스켓 치킨맛,4000,4000,0,100,치킨 맛의 고양이용 디저트 비스켓입니다.,C,2,a,231,C2a231,"너를위한디저트 고양이 캣닢비스켓 치킨맛은 치킨 맛이 가미된 고양이 간식입니다. 캣닢이 포함되어 고양이의 흥미를 유도하며, 바삭한 비스켓 식감이 고양이의 기호를 끌어올립니다. 영양이 풍부하고, 고양이의 건강을 고려하여 제조되었습니다.",
밥이보약 CAT 빛나는 피모 2kg,27800,16680,0.4,2000, 고양이의 피모 건강을 위해 제작된 사료입니다.,C,1,a,232,C1a232,"밥이보약 CAT 빛나는 피모는 고양이의 건강한 털과 피부를 위한 사료입니다. 2kg의 용량으로 제공되며, 비타민과 오메가-3 지방산이 포함되어 있어 건강한 털을 유지하는 데 도움을 줍니다. 고단백 저지방으로 고양이의 체중 관리에도 적합합니다.",
몰리스 쉬야응가 튀지않는 패드 M 45매,13900,13900,0,45,강아지나 고양이의 털이 빠짐 없이 쉽게 제거되는 패드입니다.,D,3,z,233,D3z233,"몰리스 쉬야응가 튀지않는 패드는 반려동물의 배변 관리를 위한 패드입니다. M 사이즈로 45매입으로 제공되며, 특수 흡수층이 액체를 빠르게 흡수하고 튀는 것을 방지합니다. 강력한 흡수력과 냄새 차단 기능으로 쾌적한 환경을 유지할 수 있습니다.",
프리스키 파티믹스 믹스그릴 60g,4300,4300,0,60,강아지를 위한 그릴 맛의 파티믹스 간식입니다.,C,1,z,234,C1z234,"프리스키 파티믹스 믹스그릴은 고양이용 간식으로, 다양한 그릴 맛이 조화된 제품입니다. 60g의 소포장으로 제공되며, 바삭한 식감과 풍부한 맛이 고양이의 기호를 높입니다. 간식으로 주기에도 적합하며, 고양이의 건강을 고려한 영양 균형을 제공합니다.",
건강백서 건강한 피부 6kg,65100,65100,0,6000,강아지나 고양이의 피부 건강을 위한 사료입니다.,D,1,z,235,D1z235,"건강백서 건강한 피부 사료는 반려견의 피부 건강을 위한 고급 사료입니다. 6kg의 대용량으로 제공되며, 피부와 털 건강을 지원하는 비타민과 오메가-3 지방산이 포함되어 있습니다. 소화가 잘 되는 재료로 제조되어 피부 염증을 예방하고 건강한 털을 유지합니다.",
건강백서 푸들 2kg,28500,28500,0,2000,푸들을 위해 특별히 조성된 사료입니다.,D,1,z,236,D1z236,"건강백서 푸들 사료는 푸들을 위해 특별히 설계된 고급 사료입니다. 2kg의 용량으로 제공되며, 푸들의 특성에 맞춘 영양 성분이 포함되어 있습니다. 소화가 잘 되는 재료와 최적의 단백질, 지방 비율로 건강을 유지하며, 건강한 털과 피부를 지원합니다.",
포켄스 푸들 전용 샴푸&린스,8200,8200,0,550,푸들의 털에 적합한 전용 샴푸와 린스 세트입니다.,D,3,z,237,D3z237,"포켄스 푸들 전용 샴푸&린스는 푸들의 털과 피부에 맞춘 전문적인 샴푸와 린스 제품입니다. 부드럽고 촉촉한 세정 효과가 있으며, 피부 자극을 최소화하고 부드러운 털을 유지합니다. 포켄스 브랜드의 제품으로, 푸들의 특성에 맞춰 제조된 고급 미용 제품입니다.",
포켄스 오트밀 샴푸 550ml,8200,8200,0,550,오트밀이 함유된 강아지용 샴푸로 피부를 부드럽게 케어합니다.,Z,3,z,238,Z3z238,"포켄스 오트밀 샴푸는 반려동물의 피부와 털을 부드럽게 세정하는 제품입니다. 550ml의 대용량으로 제공되며, 오트밀 성분이 포함되어 피부 자극을 줄이고 보습 효과를 제공합니다. 부드러운 거품과 상쾌한 향기로 반려동물의 목욕 시간을 더욱 즐겁게 만들어줍니다.",
뉴트리나 어덜트 치킨 2.1kg,14600,14600,0,2100,성인 고양이를 위한 치킨 맛의 사료입니다.,D,1,a,239,D1a239,"뉴트리나 어덜트 치킨은 성견을 위한 고단백 사료입니다. 2.1kg의 대용량으로 제공되며, 신선한 치킨이 주된 단백질 공급원으로, 건강한 체중 유지를 지원합니다. 소화가 잘 되는 성분으로 제조되어 반려견의 건강을 유지하며, 영양 균형이 잘 맞춰져 있습니다.",
불리스틱 초소형 9p,13500,13500,0,9,작은 사이즈의 강아지를 위한 식사용 어덜트 사료입니다. 소형견에게 적합한 사이즈와 영양소를 제공합니다.,D,2,a,240,D2a240,"불리스틱 초소형은 작은 반려동물을 위한 간식입니다. 9개의 소포장으로 제공되며, 작은 사이즈로 인해 작은 반려동물의 기호에 맞춰 제작되었습니다. 풍부한 맛과 부드러운 식감이 특징이며, 간식이나 훈련 보상용으로 적합합니다.",
더리얼 캣 그레인프리 크런치 닭고기 1kg,22000,22000,0,1000,"고양이를 위한 곡물 없는 크런치 사료로, 닭고기가 주 재료로 사용되어 건강한 식사를 도와줍니다.",C,1,a,241,C1a241,"더리얼 캣 그레인프리 크런치 닭고기는 고양이를 위한 그레인프리 사료입니다. 1kg의 대용량으로 제공되며, 닭고기를 주원료로 사용하여 고양이의 기호성을 높입니다. 곡물 없이 제조되어 알레르기 걱정이 없으며, 건강한 단백질 공급원으로 고양이의 전반적인 건강을 지원합니다.",
깃털꼬리 캣티클러,2500,2500,0,1,고양이를 위한 깃털 꼬리가 달린 장난감입니다. 장난감으로서의 역할 뿐 아니라 고양이의 깃털 관리에도 도움을 줄 수 있습니다.,C,3,z,242,C3z242,"깃털꼬리 캣티클러는 고양이의 발톱 관리와 놀이를 돕는 제품입니다. 깃털 장식이 달린 티클러로, 고양이의 호기심을 자극하고 자연스럽게 발톱을 깎는 데 도움을 줍니다. 튼튼하고 안전한 디자인으로 고양이의 발톱 건강을 관리할 수 있습니다.",
덴탈라이프 미니 독 193g,10900,10900,0,193,"소형견용 덴탈 간식, 구강 건강 관리에 도움",D,2,z,243,D2z243,"이 간식은 소형견의 치아 건강을 고려하여 설계된 제품으로, 치아와 잇몸의 청결을 유지하는 데 도움을 줍니다. 특별한 질감이 치아의 플라크와 타르타르를 제거하고, 구취를 줄여줍니다. 비타민과 미네랄이 풍부해 영양가가 높으며, 매일 간식으로 제공하여 반려견의 건강한 입안과 전반적인 웰빙을 지원합니다. 작고 가벼운 사이즈로 소형견에게 적합하며, 맛있고 건강한 간식을 찾는 보호자에게 이상적입니다.",
더리얼 레시피 치킨볼,5200,5200,0,100,"고품질 닭고기 볼 간식, 영양 가득한 맛있는 스낵",D,2,z,244,D2z244,"신선한 치킨을 주원료로 사용하여 반려견의 건강과 맛을 동시에 고려한 고급 간식입니다. 부드럽고 풍부한 식감이 반려견의 입맛을 사로잡으며, 단백질이 풍부해 에너지를 제공합니다. 첨가물이 없는 자연 그대로의 간식으로, 반려견의 활동적인 일상에 필요한 영양소를 공급하며, 보상이나 훈련 간식으로도 적합합니다. 건강과 맛, 두 마리 토끼를 잡는 이 간식으로 반려견에게 특별한 시간을 선사하세요.",
마이독 스테이크하우스 연어 큐브 200g,5500,5500,0,200,"신선한 연어 큐브, 고단백 저지방 영양 간식",D,2,z,245,D2z245,"고급 연어를 주원료로 한 맛있는 간식으로, 반려견의 피부와 털 건강을 지원합니다. 풍부한 오메가-3 지방산과 단백질이 함유되어 있어, 건강한 에너지와 영양을 제공합니다. 큐브 형태로 간편하게 제공되며, 육즙 가득한 맛으로 반려견의 입맛을 돋우어줍니다. 간식으로 주기 좋고, 훈련 보상이나 특별한 간식 시간에 적합한 제품입니다.",
챠오 츄르 하이볼 참치 4개입,3000,2400,0.2,56,"고양이용 참치 츄르, 부드러운 식감과 맛",C,2,z,246,C2z246,"부드럽고 촉촉한 질감의 참치 간식으로, 고양이들이 사랑하는 맛을 자랑합니다. 실리콘 패키지로 간편하게 제공되며, 고양이의 건강을 고려하여 영양이 균형 잡혀 있습니다. 간식 시간에 반려묘에게 기쁨을 주며, 4개입으로 실용적이고 보상이나 훈련 간식으로 적합합니다. 맛과 편리함을 동시에 제공하는 이 간식으로 특별한 순간을 만들어 보세요.",
포켄스 탈취제 은은한 베이비 파우더향,9500,7600,0.2,1000,"은은한 향의 탈취제, 애완동물 주변 악취 제거",Z,3,z,247,Z3z247,"반려동물과 그 주변 공간의 악취를 효과적으로 제거하는 탈취제입니다. 은은한 베이비 파우더향이 장시간 동안 상쾌한 환경을 유지하며, 불쾌한 냄새를 효과적으로 중화시킵니다. 집안의 청결을 유지하고, 반려동물이 있는 공간에서도 쾌적한 분위기를 제공합니다. 실내에서 사용하기 편리하며, 간단한 사용법으로 언제든지 청결한 환경을 유지할 수 있습니다.",
퓨리나 팬시피스트 청키 치킨 캔 85g x 3개입,6700,6700,0,255,"촉촉한 청키 치킨, 고양이용 맛있는 캔 간식",C,2,z,248,C2z248,"풍성한 치킨 조각이 들어간 고양이용 습식 사료입니다. 고양이의 입맛을 고려하여 조리된 치킨이 풍부하게 들어 있으며, 영양가가 높은 맛있는 간식입니다. 85g 캔 3개입 패키지로 실용적이며, 매일 식사나 간식으로 제공하기 좋습니다. 반려묘의 건강을 챙기면서 맛있는 식사 시간을 제공하는 제품입니다.",
포켄스 덴탈스틱 후레시 칼슘 S 작은별 220g,10500,10500,0,220,"소형견용 덴탈스틱, 후레시 칼슘 함유로 치아 건강",D,2,z,249,D2z249,"소형견을 위한 치아 건강 간식으로, 칼슘이 풍부해 뼈와 치아를 튼튼하게 유지합니다. 작은별 모양의 식감이 치아와 잇몸의 플라크를 제거하고, 상쾌한 입안을 만들어줍니다. 치아 관리와 구취 제거를 동시에 지원하며, 반려견의 일상적인 건강 유지에 도움을 줍니다. 매일 간식으로 제공하여 치아와 전반적인 건강을 관리해보세요.",
[MOLLYS 몰리스]애견 패드판 [(가로)49(세로)40.5*(높이)4cm],9600,9600,0,1,"애견용 패드판, 간편한 사이즈로 실내 배변 훈련 용이",Z,3,z,250,Z3z250,"반려견의 배변 훈련을 돕기 위해 설계된 패드판입니다. 견고한 소재로 제작되어 내구성이 뛰어나며, 패드가 흔들리지 않아 안정적으로 사용할 수 있습니다. 적당한 크기와 높이로 배변 패드를 안정적으로 고정시켜 청결한 환경을 유지할 수 있습니다. 반려견의 배변 습관을 교정하는 데 효과적이며, 편리한 사용으로 보호자에게도 유용한 제품입니다.",
위스카스 캣 포켓 헤어볼 닭고기와 참치 1.1kg,11900,11900,0,1100,"헤어볼 관리용 캣 포켓, 닭고기와 참치 맛 영양 간식",C,1,z,251,C1z251,"닭고기와 참치를 주원료로 한 고양이 간식으로, 헤어볼 문제를 효과적으로 줄여줍니다. 고양이의 소화와 건강을 고려하여 영양이 균형 잡혀 있으며, 맛있는 간식으로 고양이의 입맛을 만족시킵니다. 1.1kg 대용량 패키지로 경제적이며, 일상적인 간식이나 보상으로 적합합니다. 고양이의 건강한 일상과 행복한 간식 시간을 제공합니다.",
자연소재 사사미&소프트컷160G,8200,8200,0,160,"순수한 사사미와 부드러운 소프트컷, 고양이 간식",D,2,a,252,D2a252,"자연에서 온 고급 재료로 만들어진 반려견 간식입니다. 사사미와 소프트컷이 조화를 이루어 풍부한 맛과 영양을 제공합니다. 소화가 잘 되는 이 간식은 반려견의 건강을 지키며, 에너지를 공급합니다. 고급 재료로 만들어져 영양과 맛을 동시에 충족시키며, 매일 간식으로 주기 좋습니다. 반려견의 건강한 식사와 행복한 순간을 위해 적합한 제품입니다.",
포켄스 알로에 향수&컨디셔너 베이비파우더향 300ml,5800,5800,0,300,"알로에 함유 향수&컨디셔너, 은은한 베이비파우더향",Z,3,z,253,Z3z253,"베이비파우더향의 향수&컨디셔너는 반려동물의 털과 피부를 부드럽고 건강하게 유지하는 데 도움을 줍니다. 알로에 성분이 포함되어 피부를 진정시키고, 엉킴을 방지하여 쉽게 빗질할 수 있게 합니다. 은은한 베이비파우더향이 기분 좋은 상쾌함을 선사하며, 매끄럽고 윤기 나는 털로 변모시킵니다. 300ml 대용량으로 장기간 사용이 가능해 경제적이며, 반려동물의 일상적인 미용 관리에 적합한 제품입니다.",
캔 쇠고기맛 700g,4500,4500,0,700,"쇠고기 맛 캔, 풍부한 영양과 맛있는 식사",D,2,z,254,D2z254,"쇠고기 조각이 풍부하게 들어 있는 이 캔 사료는 고양이와 강아지 모두가 사랑하는 맛을 제공합니다. 고단백 성분으로 반려동물의 체력과 건강을 지원하며, 균형 잡힌 영양이 특징입니다. 700g 대용량으로 가성비가 뛰어나며, 매일 식사나 간식으로 활용하기에 좋습니다. 쇠고기의 풍부한 맛과 질감이 반려동물의 입맛을 사로잡아, 건강하고 맛있는 식사 시간을 만들어 줍니다.",
포비스 덴탈크린치약 100ml,5600,5600,0,100,"애견용 덴탈 치약, 구강 청결과 건강 유지",Z,3,z,255,Z3z255,"이 치약은 반려동물의 치아와 잇몸 건강을 위해 특별히 설계된 제품입니다. 플라크와 타르타르를 효과적으로 제거하며, 구취를 상쾌하게 없애주는 기능이 있습니다. 안전한 성분으로 만들어져 반려동물의 구강 건강을 유지하는 데 도움을 주며, 사용 후 상쾌한 입안을 제공합니다. 100ml 용량으로 가정에서 손쉽게 사용 가능하며, 정기적인 치아 관리를 통해 건강한 구강 상태를 유지할 수 있습니다.",
뉴트리나 어덜트 연어 2.1kg,14600,14600,0,2100,"연어 함유 어덜트 사료, 고양이 영양식",D,1,z,256,D1z256,"고급 연어를 주원료로 한 이 사료는 반려견의 피부와 털 건강을 지원합니다. 오메가-3 지방산이 풍부하게 포함되어 있어 피부를 건강하게 유지하고 털에 윤기를 부여합니다. 2.1kg 대용량으로 경제적이며, 영양이 균형 잡힌 식사로 반려견의 활력을 유지할 수 있습니다. 매일 급여하면 반려견의 건강을 지키고 맛있는 식사를 제공할 수 있는 제품입니다.",
KURU Natural 밀크본S 4P 130g,5000,5000,0,130,"천연 밀크본, 작은 크기의 강아지 간식",D,2,z,257,D2z257,"밀크본S는 고소한 밀크 맛의 간식으로, 반려견의 치아 건강을 고려하여 제작된 제품입니다. 부드러운 질감과 높은 영양가로 간식과 보상으로 적합하며, 4P 패키지로 제공되어 경제적입니다. 130g의 대용량으로 매일 간식으로 주기에 적합하며, 반려견의 입맛을 사로잡는 맛과 질감이 특징입니다. 건강과 맛을 동시에 충족시키는 제품입니다.",
그린트리 호호바오일 샴푸 500ml,8500,8500,0,500,"호호바오일 샴푸, 강아지 털과 피부 관리",Z,3,z,258,Z3z258,"호호바오일이 포함된 이 샴푸는 반려동물의 피부와 털을 부드럽고 건강하게 유지하는 데 효과적입니다. 호호바오일이 피부를 진정시키고 털에 윤기를 더해줍니다. 자극이 적어 민감한 피부에도 적합하며, 500ml 대용량으로 경제적으로 사용할 수 있습니다. 매일 사용하여 깨끗하고 건강한 털을 유지하며, 반려동물의 미용 관리에 유용한 제품입니다.",
몰리스 오리 져키믹스,16000,16000,0,800,"오리 져키믹스, 애견용 고단백 간식",D,2,z,259,D2z259,"오리고기로 만든 이 간식은 반려견이 좋아하는 맛과 질감을 제공합니다. 높은 단백질과 영양이 풍부해 건강한 간식으로 적합하며, 다양한 크기와 질감이 혼합되어 있어 다양한 입맛에 맞출 수 있습니다. 훈련 보상이나 특별한 간식으로 제공하기에 좋으며, 반려견의 행복한 시간을 만들어주는 제품입니다.",
손가락 칫솔 (1회용),6200,6200,0,30,"일회용 손가락 칫솔, 간편한 애견 구강 관리",D,3,z,260,D3z260,"손가락에 끼워 사용하는 1회용 칫솔은 반려동물의 치아를 간편하게 관리할 수 있는 도구입니다. 위생적이며, 손가락에 쉽게 착용하여 사용하므로 치아를 꼼꼼하게 닦을 수 있습니다. 소형 디자인으로 반려동물의 구강을 세심하게 관리할 수 있으며, 치아 건강을 유지하는 데 도움이 되는 유용한 제품입니다.",
닥터할리펫밀크카라멜,2000,2000,0,200,"밀크카라멜 맛 영양제, 강아지 건강 보조",D,2,z,261,D2z261,"카라멜 맛의 이 간식은 반려동물의 입맛을 사로잡는 맛있는 보상입니다. 부드러운 질감이 특징이며, 영양가가 높아 간식과 보상으로 적합합니다. 소량씩 주기 좋은 제품으로, 반려동물의 특별한 간식 시간에 적합하며, 맛과 영양을 동시에 충족시키는 간식입니다.",
내츄럴랩 건강한치즈 애견간식 크랜베리 스틱 100g,4900,4900,0,100,"크랜베리 스틱, 건강한 치즈 애견 간식",D,2,z,262,D2z262,"치즈와 크랜베리가 조화를 이루는 간식으로, 반려견의 입맛을 돋우어줍니다. 100g 대용량으로 제공되며, 치즈의 고소한 맛과 크랜베리의 상큼함이 반려견에게 즐거운 간식 시간을 선사합니다. 영양이 풍부하고 건강에 좋은 제품으로, 간식과 보상으로 적합하며, 반려견의 행복을 위해 좋은 선택입니다.",
ANF고양이참치순살캔95G,1900,1900,0,95,"고양이용 참치 순살 캔, 부드럽고 맛있는 영양식",C,2,z,263,C2z263,"참치 순살이 가득한 이 캔 사료는 고양이들이 좋아하는 맛을 제공합니다. 95g의 소용량으로 신선한 참치의 자연스러운 맛과 향을 그대로 담아내어 고양이의 입맛을 사로잡습니다. 영양가가 높아 균형 잡힌 식사로 적합하며, 고양이의 건강을 고려한 제품입니다. 특별한 간식이나 일상 식사로 제공하기 좋습니다.",
프리스키 파티믹스 캘리포니아 60g,4300,4300,0,60,"고양이 간식 파티믹스, 캘리포니아 맛",C,1,z,264,C1z264,"프리스키 파티믹스 캘리포니아는 다양한 맛과 질감의 고양이 간식이 포함된 제품입니다. 60g의 포장으로 다양한 맛의 간식을 제공하여 고양이의 미각을 자극합니다. 다양한 크기와 맛의 조화로 고양이의 입맛을 사로잡으며, 간식 시간에 특별한 즐거움을 더해줍니다. 일상적인 간식이나 보상으로 적합한 제품입니다.",
펫스테이비 바비큐 우드스틱 P(30142),6800,6800,0,1,"바비큐 향 우드스틱, 애견용 간식",D,3,z,265,D3z265,"펫스테이비 바비큐 우드스틱은 반려견을 위한 맛있고 건강한 간식입니다. 바비큐 향이 가득한 우드스틱 형태로, 반려견이 씹는 재미와 함께 간식을 즐길 수 있습니다. 단백질이 풍부하며, 씹는 과정에서 치아 건강을 유지하는 데 도움을 줍니다. 반려견의 훈련 보상이나 간식으로 적합합니다.",
